ts_s,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps
4.777,0.08,-0.04,0.92,-0.95,2.27,-0.05
4.797,0.08,-0.03,0.92,-0.97,2.28,-0.04
4.817,0.08,-0.03,0.92,-1.05,2.28,0.03
4.837,0.08,-0.03,0.92,-1.11,2.16,0.03
4.857,0.08,-0.04,0.92,-1.02,2.29,-0.03
4.877,0.08,-0.03,0.92,-0.97,2.26,0
4.897,0.08,-0.03,0.92,-0.99,2.22,-0.04
4.917,0.08,-0.03,0.92,-1.06,2.32,-0.01
4.937,0.08,-0.04,0.92,-0.96,2.29,-0.05
4.957,0.08,-0.04,0.92,-1.03,2.28,-0.01
4.977,0.08,-0.03,0.92,-1.03,2.29,-0.06
4.997,0.08,-0.04,0.92,-0.95,2.18,0
5.017,0.08,-0.04,0.92,-1.01,2.27,0.02
5.037,0.08,-0.04,0.92,-0.97,2.23,0.04
5.057,0.08,-0.03,0.92,-1.02,2.2,0.06
5.078,0.08,-0.04,0.92,-1.03,2.18,-0.02
5.097,0.08,-0.03,0.92,-1.03,2.22,0.03
5.117,0.08,-0.03,0.92,-1.01,2.25,0.01
5.137,0.08,-0.04,0.92,-1.02,2.27,-0.05
5.157,0.08,-0.04,0.92,-1.01,2.21,-0.03
5.177,0.08,-0.04,0.92,-1.03,2.36,0.06
5.197,0.08,-0.04,0.92,-1.03,2.27,-0.04
5.217,0.08,-0.04,0.92,-1.1,2.21,0
5.237,0.08,-0.04,0.92,-1,2.27,0
5.257,0.08,-0.03,0.92,-1.04,2.24,-0.01
5.277,0.08,-0.03,0.92,-0.96,2.23,0
5.297,0.08,-0.03,0.92,-1.03,2.25,-0.05
5.317,0.08,-0.03,0.92,-1,2.26,-0.06
5.337,0.08,-0.04,0.92,-1.02,2.3,0.04
5.357,0.08,-0.03,0.92,-1.01,2.18,0.01
5.377,0.08,-0.03,0.92,-0.98,2.14,-0.05
5.397,0.08,-0.03,0.92,-1.02,2.16,-0.01
5.417,0.08,-0.04,0.92,-1.01,2.18,0.08
5.437,0.08,-0.03,0.92,-1.06,2.22,-0.05
5.457,0.08,-0.04,0.92,-1.02,2.14,-0.05
5.477,0.08,-0.04,0.92,-1,2.2,-0.04
5.497,0.08,-0.03,0.92,-1.03,2.27,0.01
5.517,0.08,-0.03,0.92,-1.02,2.24,0.11
5.537,0.08,-0.04,0.92,-1.08,2.29,0.01
5.557,0.08,-0.04,0.92,-1.02,2.29,0
5.577,0.08,-0.03,0.92,-1.05,2.23,-0.02
5.597,0.08,-0.03,0.92,-1.02,2.21,0.01
5.617,0.08,-0.04,0.92,-0.98,2.37,0.02
5.637,0.08,-0.04,0.92,-1.07,2.24,0.06
5.657,0.08,-0.03,0.92,-1.06,2.25,0.01
5.677,0.08,-0.03,0.92,-1.05,2.14,-0.05
5.697,0.08,-0.03,0.92,-1.04,2.17,0.01
5.718,0.08,-0.03,0.92,-1.02,2.08,0.02
5.737,0.08,-0.03,0.92,-0.98,2.1,-0.03
5.757,0.08,-0.03,0.92,-1.02,2.22,-0.01
5.777,0.08,-0.03,0.92,-1.01,2.24,0.04
5.797,0.08,-0.04,0.92,-0.99,2.21,0.01
5.817,0.08,-0.04,0.92,-1.06,2.21,0.03
5.837,0.08,-0.04,0.92,-1.05,2.16,0.02
5.857,0.08,-0.03,0.91,-1.02,2.24,0
